OID_,Id,x_cord,y_cord
0,0,-96.82036511,29.6887345
1,0,-96.69221745,29.82128223
2,0,-96.57216015,29.69345604
3,0,-96.45476055,29.07971256
4,0,-96.35801023,30.08777293
5,0,-96.18916232,30.12869995
6,0,-96.18674423,29.76365238
7,0,-96.1542532,29.77069793
8,0,-96.15232325,29.76455431
9,0,-96.13520541,29.7738441
10,0,-96.13474027,29.7726814
11,0,-96.1335774,29.77314648
12,0,-96.07578429,30.11450467
13,0,-96.05171175,30.23566829
14,0,-96.0400831,30.09823722
15,0,-96.03961796,30.09684198
16,0,-95.97682328,29.78058775
17,0,-95.90857051,30.06331442
18,0,-95.88813206,29.57850592
19,0,-95.87381911,29.5238499
20,0,-95.85557181,29.53522109
21,0,-95.83425611,30.29566358
22,0,-95.83379096,30.65796071
23,0,-95.81983659,29.69640832
24,0,-95.8193259,29.55792379
25,0,-95.81342603,29.47363544
26,0,-95.80820795,29.55804709
27,0,-95.80783383,29.53212429
28,0,-95.80541707,30.35449617
29,0,-95.77664518,29.7853919
30,0,-95.77515633,29.70063727
31,0,-95.77215915,30.88910535
32,0,-95.76847893,29.99887076
33,0,-95.75574821,29.87522218
34,0,-95.72297029,29.87987792
35,0,-95.71867768,29.78497305
36,0,-95.7142485,29.6438543
37,0,-95.70941492,29.64922998
38,0,-95.68951712,29.70792511
39,0,-95.68942264,29.56145109
40,0,-95.68354594,29.60147825
41,0,-95.6502931,29.64998536
42,0,-95.64894928,29.61315183
43,0,-95.64472891,29.87929929
44,0,-95.64403775,29.78477225
45,0,-95.64341807,29.73577005
46,0,-95.64332906,29.70408198
47,0,-95.64320923,29.71102622
48,0,-95.6351888,30.08962132
49,0,-95.62374198,29.72032746
50,0,-95.62307994,29.72268532
51,0,-95.62298355,29.71254826
52,0,-95.62218381,29.59831438
53,0,-95.61848134,29.91504397
54,0,-95.61517591,29.91663893
55,0,-95.61459257,30.05187575
56,0,-95.6130793,29.91081008
57,0,-95.61238158,29.91174024
58,0,-95.61168386,29.91011246
59,0,-95.59328925,29.62789119
60,0,-95.59214045,29.62896434
61,0,-95.58953685,30.7372388
62,0,-95.5780438,29.71632557
63,0,-95.57554816,29.64384025
64,0,-95.57168133,29.71594167
65,0,-95.57168133,29.71687183
66,0,-95.56954183,30.71840376
67,0,-95.56858731,29.87957637
68,0,-95.56327896,29.86740607
69,0,-95.5626484,29.78452694
70,0,-95.55967813,29.6746593
71,0,-95.55958754,29.87220846
72,0,-95.55772696,29.87267354
73,0,-95.55765275,29.66057533
74,0,-95.55734806,29.7369958
75,0,-95.55726181,29.87337116
76,0,-95.55679666,29.71663929
77,0,-95.55679666,29.71826706
78,0,-95.55679666,29.7219877
79,0,-95.55657607,29.70439443
80,0,-95.55632494,30.0751665
81,0,-95.5530755,29.8736037
82,0,-95.55229479,29.86753085
83,0,-95.55099941,30.07298214
84,0,-95.5478205,29.87036824
85,0,-95.54687152,29.96064832
86,0,-95.54424527,29.86180385
87,0,-95.5432381,29.71863899
88,0,-95.54303578,29.78422483
89,0,-95.54237715,29.67547973
90,0,-95.541912,29.71826706
91,0,-95.541912,29.71942976
92,0,-95.54074914,29.67640989
93,0,-95.54040875,29.86674309
94,0,-95.53865598,29.7196623
95,0,-95.53865598,29.72222024
96,0,-95.53859303,29.64458659
97,0,-95.53842341,29.71756944
98,0,-95.53842341,29.71989484
99,0,-95.53819448,29.73708559
100,0,-95.53819083,29.72152262
101,0,-95.53747467,29.6185523
102,0,-95.53729802,29.70500257
103,0,-95.5367954,29.72012738
104,0,-95.5342371,29.52804944
105,0,-95.53059043,29.63726663
106,0,-95.52975629,29.68823403
107,0,-95.52747169,29.67163679
108,0,-95.52737669,29.6415271
109,0,-95.52657295,30.08694356
110,0,-95.52581808,30.68082967
111,0,-95.52454931,30.7157619
112,0,-95.52074787,29.93662201
113,0,-95.51961187,29.93970554
114,0,-95.51749185,29.93731963
115,0,-95.51720303,29.62644577
116,0,-95.51423583,29.93685455
117,0,-95.51349069,30.07406259
118,0,-95.51285696,30.07391338
119,0,-95.51206536,29.70438217
120,0,-95.51074945,30.33310384
121,0,-95.50549825,29.53056952
122,0,-95.50046777,29.71990172
123,0,-95.50021703,29.73762427
124,0,-95.50020589,29.72266895
125,0,-95.49866568,29.78383999
126,0,-95.49862965,29.716546
127,0,-95.49791852,29.98780479
128,0,-95.49612201,29.71874541
129,0,-95.49555042,30.32575274
130,0,-95.49331741,29.91994024
131,0,-95.49329156,29.61326703
132,0,-95.4930054,29.82544712
133,0,-95.49278636,29.6775303
134,0,-95.49249102,29.63605246
135,0,-95.4924471,29.64454778
136,0,-95.49242343,29.70547917
137,0,-95.49137907,29.72294314
138,0,-95.49077854,29.61723037
139,0,-95.488176,29.83796655
